Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
idle;39.27;0.80;42.06;0.80;36.98;0.80;;;;0.164;3368;2;8.617;;;0.001;111;0;20.02;
800000-threshold-210;43.41;0.80;44.13;0.80;41.51;0.80;;;;0.163;2908;2;22.854;;;0.001;94;0;17.48;
idle;39.06;0.80;40.11;0.80;37.92;0.80;;;;0.174;3809;2;8.086;;;0.001;131;0;20.02;
800000-threshold-215;43.28;0.80;44.09;0.80;41.71;0.80;;;;0.159;3249;2;22.072;;;0.002;652;0;18.46;
idle;39.33;0.80;40.67;0.80;37.64;0.80;;;;0.233;3745;2;8.392;;;0.001;105;0;20.01;
800000-threshold-220;43.06;0.80;43.96;0.80;41.42;0.80;;;;0.151;3205;2;22.471;;;0.002;597;0;17.18;
idle;39.28;0.80;41.32;0.80;37.57;0.80;;;;0.190;4106;2;8.421;;;0.001;96;0;20.02;
800000-threshold-225;43.22;0.80;44.27;0.80;40.85;0.80;;;;0.113;2433;2;22.242;;;0.001;150;0;17.91;
idle;39.03;0.80;40.76;0.80;37.40;0.80;;;;0.223;3640;2;7.898;;;0.000;99;0;20.02;
800000-threshold-230;42.99;0.80;43.98;0.80;41.22;0.80;;;;0.151;3153;2;22.229;;;0.003;639;0;18.11;
idle;39.14;0.80;40.20;0.80;37.97;0.80;;;;0.187;3528;2;8.061;;;0.001;117;0;20.02;
800000-threshold-235;43.22;0.80;44.09;0.80;41.06;0.80;;;;0.164;2871;2;22.778;;;0.001;138;0;17.26;
idle;39.27;0.80;40.29;0.80;38.11;0.80;;;;0.179;3373;2;8.387;;;0.001;114;0;20.02;
800000-threshold-240;43.19;0.80;44.75;0.80;40.80;0.80;;;;0.158;3232;2;22.697;;;0.002;496;0;17.45;
idle;39.26;0.80;40.14;0.80;38.01;0.80;;;;0.193;4038;2;8.176;;;0.001;150;0;20.02;
800000-threshold-245;43.24;0.80;44.60;0.80;41.36;0.80;;;;0.237;3806;2;22.724;;;0.002;592;0;17.34;
idle;39.13;0.80;40.42;0.80;37.78;0.80;;;;0.219;3636;2;8.318;;;0.000;96;0;20.00;
800000-threshold-250;42.91;0.80;43.84;0.80;40.65;0.80;;;;0.204;3682;2;21.926;;;0.002;616;0;18.22;
idle;38.95;0.80;40.44;0.80;37.84;0.80;;;;0.190;4402;2;8.236;;;0.001;123;0;20.00;
